|------|---------------|--------|-----------------------------------------|-----------------------------------|------------------------------------------------------------------------------------------|--------|
| ID   | Severity      | Status | Contract                                | Function                          | Title                                                                                    | Fixed? |
|------|---------------|--------|-----------------------------------------|-----------------------------------|------------------------------------------------------------------------------------------|--------|
| H-01 | High          | Open   | LendingPool.sol                         | borrow()                          | Supply cap checked on borrow — DoS when deposits near cap                                | No     |
|------|---------------|--------|-----------------------------------------|-----------------------------------|------------------------------------------------------------------------------------------|--------|
| H-02 | High          | Open   | LendingPool.sol                         | withdraw()                        | Supply cap checked on withdrawal — blocks fund access                                    | No     |
|------|---------------|--------|-----------------------------------------|-----------------------------------|------------------------------------------------------------------------------------------|--------|
| H-03 | High          | Open   | LendingPool.sol / CollateralManager.sol | _getAccountTotals()               | E-Mode health factor uses RAY not WAD — liquidation permanently disabled in E-Mode       | No     |
|------|---------------|--------|-----------------------------------------|-----------------------------------|------------------------------------------------------------------------------------------|--------|
| H-04 | High          | Open   | StableDebtToken.sol                     | _accrueInterest()                 | accrueInterest() is no-op — interest lost on multi-mint positions                        | No     |
|------|---------------|--------|-----------------------------------------|-----------------------------------|------------------------------------------------------------------------------------------|--------|
| H-05 | High          | Open   | RiskGovernance.sol                      | execute()                         | Zero-supply quorum bypass — any USDC holder can pass governance with 1 vote              | No     |
|------|---------------|--------|-----------------------------------------|-----------------------------------|------------------------------------------------------------------------------------------|--------|
| H-06 | High          | Open   | TrancheVault.sol                        | depositSenior()                   | Senior cap skipped on first deposit — 100% senior possible with no junior buffer         | No     |
|------|---------------|--------|-----------------------------------------|-----------------------------------|------------------------------------------------------------------------------------------|--------|
| H-07 | High          | Open   | NFTCollateralManager.sol                | liquidate()                       | liquidate() never pulls debt from liquidator — NFTs stolen for free                      | No     |
|------|---------------|--------|-----------------------------------------|-----------------------------------|------------------------------------------------------------------------------------------|--------|
| H-08 | High          | Open   | LoopStrategy.sol                        | openPosition()                    | 1:1 price assumption — all mixed-asset leveraged positions non-functional                | No     |
|------|---------------|--------|-----------------------------------------|-----------------------------------|------------------------------------------------------------------------------------------|--------|
| H-09 | High          | Open   | LendingPool.sol                         | borrow()                          | Duplicate _hasBorrow block — latent double-push bug                                      | No     |
|------|---------------|--------|-----------------------------------------|-----------------------------------|------------------------------------------------------------------------------------------|--------|
| M-01 | Medium        | Open   | LendingPool.sol                         | withdraw()                        | Supply cap on withdrawal (see H-02)                                                      | No     |
|------|---------------|--------|-----------------------------------------|-----------------------------------|------------------------------------------------------------------------------------------|--------|
| M-02 | Medium        | Open   | LendingPool.sol                         | _accrueInterest()                 | Stable debt excluded from interest rate utilization calculation                          | No     |
|------|---------------|--------|-----------------------------------------|-----------------------------------|------------------------------------------------------------------------------------------|--------|
| M-03 | Medium        | Open   | LendingPool.sol                         | liquidate()                       | Isolation debt ceiling never decremented after liquidation                               | No     |
|------|---------------|--------|-----------------------------------------|-----------------------------------|------------------------------------------------------------------------------------------|--------|
